Date,Students,Study_Hours,Data_Used_GB,Weekend,Peak_Users
2026-01-01,239,4.2,179.88,No,154
2026-01-02,452,2.8,329.96,No,369
2026-01-03,236,4.5,318.15,Yes,209
2026-01-04,359,5.4,203.86,Yes,188
2026-01-05,429,4.5,118.98,No,289
2026-01-06,497,4.1,235.75,No,376
2026-01-07,369,2.8,392.04,No,296
2026-01-08,262,5.6,289.05,No,182
2026-01-09,232,2.0,356.15,No,63
2026-01-10,353,2.1,200.47,Yes,93
2026-01-11,476,5.0,340.28,Yes,92
2026-01-12,273,5.4,255.29,No,238
2026-01-13,472,3.4,223.9,No,441
2026-01-14,127,3.6,317.97,No,71
2026-01-15,341,5.0,353.55,No,104
2026-01-16,433,3.6,336.71,No,373
2026-01-17,252,3.5,273.35,Yes,128
2026-01-18,306,3.9,117.89,Yes,273
2026-01-19,276,5.6,180.98,No,258
2026-01-20,296,3.4,286.62,No,102
2026-01-21,441,3.3,252.56,No,189
2026-01-22,364,4.8,374.22,No,83
2026-01-23,363,3.7,169.98,No,67
2026-01-24,420,2.3,203.2,Yes,159
2026-01-25,434,4.7,207.45,Yes,86
2026-01-26,241,3.8,126.2,No,227
2026-01-27,312,3.2,225.36,No,271
2026-01-28,399,4.7,346.75,No,122
2026-01-29,179,4.6,229.77,No,90
2026-01-30,331,4.9,306.3,No,149
2026-01-31,434,4.3,319.25,Yes,336
2026-02-01,191,3.0,135.3,Yes,156
2026-02-02,205,3.1,262.97,No,151
2026-02-03,376,3.3,120.12,No,259
2026-02-04,172,3.2,308.77,No,134
2026-02-05,396,3.7,262.88,No,138
2026-02-06,126,2.9,295.5,No,87
2026-02-07,199,4.0,399.91,Yes,90
2026-02-08,428,4.9,169.75,Yes,75
2026-02-09,176,5.1,230.86,No,88
2026-02-10,309,3.3,168.53,No,233
2026-02-11,475,5.0,123.0,No,230
2026-02-12,297,3.6,296.7,No,162
2026-02-13,197,2.6,353.52,No,146
2026-02-14,288,5.9,125.79,Yes,247
2026-02-15,461,2.8,399.84,Yes,330
2026-02-16,186,3.2,270.05,No,140
2026-02-17,305,3.9,200.61,No,165
2026-02-18,436,4.1,168.02,No,96
2026-02-19,194,3.3,307.4,No,149
2026-02-20,261,5.0,330.96,No,122
2026-02-21,471,2.3,300.74,Yes,358
2026-02-22,416,3.6,328.65,Yes,89
2026-02-23,324,3.7,134.24,No,75
2026-02-24,347,3.3,349.31,No,133
