News,Label,Processed_News
Scientists discover a new vaccine,Real,scientists discover new vaccine
Invisible people found in Mumbai,Fake,invisible people found mumbai
Government launches new education policy,Real,government launches new education policy
Scientists discover a new vaccine,Real,scientists discover new vaccine
Invisible people found in Mumbai,Fake,invisible people found mumbai
Drinking petrol cures fever,Fake,drinking petrol cures fever
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
Sun rises from the west today,Fake,sun rises west today
Heavy rainfall expected this week,Real,heavy rainfall expected week
Invisible people found in Mumbai,Fake,invisible people found mumbai
Heavy rainfall expected this week,Real,heavy rainfall expected week
Environment awareness campaign starts,Real,environment awareness campaign starts
New hospital opens in the city,Real,new hospital opens city
Scientists discover a new vaccine,Real,scientists discover new vaccine
Technology company launches new smartphone,Real,technology company launches new smartphone
Flying cars available for ₹500,Fake,flying cars available ₹500
Aliens landed in Delhi yesterday,Fake,aliens landed delhi yesterday
Sun rises from the west today,Fake,sun rises west today
Magic stone cures every disease,Fake,magic stone cures every disease
Indian cricket team wins the match,Real,indian cricket team wins match
Eating paper increases intelligence,Fake,eating paper increases intelligence
Sun rises from the west today,Fake,sun rises west today
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Heavy rainfall expected this week,Real,heavy rainfall expected week
Drinking petrol cures fever,Fake,drinking petrol cures fever
Government launches new education policy,Real,government launches new education policy
Indian cricket team wins the match,Real,indian cricket team wins match
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Sun rises from the west today,Fake,sun rises west today
Government launches new education policy,Real,government launches new education policy
Heavy rainfall expected this week,Real,heavy rainfall expected week
Environment awareness campaign starts,Real,environment awareness campaign starts
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
New hospital opens in the city,Real,new hospital opens city
Technology company launches new smartphone,Real,technology company launches new smartphone
Technology company launches new smartphone,Real,technology company launches new smartphone
Scientists discover a new vaccine,Real,scientists discover new vaccine
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Flying cars available for ₹500,Fake,flying cars available ₹500
Environment awareness campaign starts,Real,environment awareness campaign starts
Drinking petrol cures fever,Fake,drinking petrol cures fever
Drinking petrol cures fever,Fake,drinking petrol cures fever
Heavy rainfall expected this week,Real,heavy rainfall expected week
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
University announces semester examination,Real,university announces semester examination
Indian cricket team wins the match,Real,indian cricket team wins match
Drinking petrol cures fever,Fake,drinking petrol cures fever
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Aliens landed in Delhi yesterday,Fake,aliens landed delhi yesterday
Environment awareness campaign starts,Real,environment awareness campaign starts
Heavy rainfall expected this week,Real,heavy rainfall expected week
Heavy rainfall expected this week,Real,heavy rainfall expected week
Scientists discover a new vaccine,Real,scientists discover new vaccine
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
Heavy rainfall expected this week,Real,heavy rainfall expected week
Drinking petrol cures fever,Fake,drinking petrol cures fever
Aliens landed in Delhi yesterday,Fake,aliens landed delhi yesterday
New railway line inaugurated,Real,new railway line inaugurated
Aliens landed in Delhi yesterday,Fake,aliens landed delhi yesterday
Sun rises from the west today,Fake,sun rises west today
Environment awareness campaign starts,Real,environment awareness campaign starts
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Aliens landed in Delhi yesterday,Fake,aliens landed delhi yesterday
Government launches new education policy,Real,government launches new education policy
Flying cars available for ₹500,Fake,flying cars available ₹500
Invisible people found in Mumbai,Fake,invisible people found mumbai
Magic stone cures every disease,Fake,magic stone cures every disease
Government launches new education policy,Real,government launches new education policy
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Heavy rainfall expected this week,Real,heavy rainfall expected week
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Heavy rainfall expected this week,Real,heavy rainfall expected week
Invisible people found in Mumbai,Fake,invisible people found mumbai
Heavy rainfall expected this week,Real,heavy rainfall expected week
New hospital opens in the city,Real,new hospital opens city
Drinking petrol cures fever,Fake,drinking petrol cures fever
Aliens landed in Delhi yesterday,Fake,aliens landed delhi yesterday
Technology company launches new smartphone,Real,technology company launches new smartphone
Magic stone cures every disease,Fake,magic stone cures every disease
Technology company launches new smartphone,Real,technology company launches new smartphone
New railway line inaugurated,Real,new railway line inaugurated
New railway line inaugurated,Real,new railway line inaugurated
Humans can live without water for one month,Fake,humans live without water one month
Sun rises from the west today,Fake,sun rises west today
Flying cars available for ₹500,Fake,flying cars available ₹500
Drinking petrol cures fever,Fake,drinking petrol cures fever
University announces semester examination,Real,university announces semester examination
Flying cars available for ₹500,Fake,flying cars available ₹500
Invisible people found in Mumbai,Fake,invisible people found mumbai
University announces semester examination,Real,university announces semester examination
Government announces scholarship program,Real,government announces scholarship program
Scientists discover a new vaccine,Real,scientists discover new vaccine
Eating paper increases intelligence,Fake,eating paper increases intelligence
New hospital opens in the city,Real,new hospital opens city
New hospital opens in the city,Real,new hospital opens city
Technology company launches new smartphone,Real,technology company launches new smartphone
Technology company launches new smartphone,Real,technology company launches new smartphone
Heavy rainfall expected this week,Real,heavy rainfall expected week
Flying cars available for ₹500,Fake,flying cars available ₹500
Invisible people found in Mumbai,Fake,invisible people found mumbai
New hospital opens in the city,Real,new hospital opens city
Government announces scholarship program,Real,government announces scholarship program
Magic stone cures every disease,Fake,magic stone cures every disease
Sun rises from the west today,Fake,sun rises west today
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Magic stone cures every disease,Fake,magic stone cures every disease
Scientists discover a new vaccine,Real,scientists discover new vaccine
Government launches new education policy,Real,government launches new education policy
Invisible people found in Mumbai,Fake,invisible people found mumbai
University announces semester examination,Real,university announces semester examination
Indian cricket team wins the match,Real,indian cricket team wins match
Flying cars available for ₹500,Fake,flying cars available ₹500
Eating paper increases intelligence,Fake,eating paper increases intelligence
New hospital opens in the city,Real,new hospital opens city
Environment awareness campaign starts,Real,environment awareness campaign starts
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
Magic stone cures every disease,Fake,magic stone cures every disease
Eating paper increases intelligence,Fake,eating paper increases intelligence
New hospital opens in the city,Real,new hospital opens city
Government announces scholarship program,Real,government announces scholarship program
Indian cricket team wins the match,Real,indian cricket team wins match
New hospital opens in the city,Real,new hospital opens city
Invisible people found in Mumbai,Fake,invisible people found mumbai
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Scientists discover a new vaccine,Real,scientists discover new vaccine
Government announces scholarship program,Real,government announces scholarship program
Sun rises from the west today,Fake,sun rises west today
Scientists discover a new vaccine,Real,scientists discover new vaccine
New railway line inaugurated,Real,new railway line inaugurated
Government announces scholarship program,Real,government announces scholarship program
Technology company launches new smartphone,Real,technology company launches new smartphone
Environment awareness campaign starts,Real,environment awareness campaign starts
Technology company launches new smartphone,Real,technology company launches new smartphone
Invisible people found in Mumbai,Fake,invisible people found mumbai
Invisible people found in Mumbai,Fake,invisible people found mumbai
Eating paper increases intelligence,Fake,eating paper increases intelligence
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Environment awareness campaign starts,Real,environment awareness campaign starts
Magic stone cures every disease,Fake,magic stone cures every disease
Heavy rainfall expected this week,Real,heavy rainfall expected week
Humans can live without water for one month,Fake,humans live without water one month
Government launches new education policy,Real,government launches new education policy
Scientists discover a new vaccine,Real,scientists discover new vaccine
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Environment awareness campaign starts,Real,environment awareness campaign starts
New railway line inaugurated,Real,new railway line inaugurated
Drinking petrol cures fever,Fake,drinking petrol cures fever
University announces semester examination,Real,university announces semester examination
New railway line inaugurated,Real,new railway line inaugurated
Indian cricket team wins the match,Real,indian cricket team wins match
Heavy rainfall expected this week,Real,heavy rainfall expected week
Eating paper increases intelligence,Fake,eating paper increases intelligence
Eating paper increases intelligence,Fake,eating paper increases intelligence
Drinking petrol cures fever,Fake,drinking petrol cures fever
University announces semester examination,Real,university announces semester examination
Government launches new education policy,Real,government launches new education policy
Eating paper increases intelligence,Fake,eating paper increases intelligence
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
Flying cars available for ₹500,Fake,flying cars available ₹500
New railway line inaugurated,Real,new railway line inaugurated
Heavy rainfall expected this week,Real,heavy rainfall expected week
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
Government announces scholarship program,Real,government announces scholarship program
New railway line inaugurated,Real,new railway line inaugurated
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
Heavy rainfall expected this week,Real,heavy rainfall expected week
Invisible people found in Mumbai,Fake,invisible people found mumbai
Heavy rainfall expected this week,Real,heavy rainfall expected week
Government announces scholarship program,Real,government announces scholarship program
New hospital opens in the city,Real,new hospital opens city
Eating paper increases intelligence,Fake,eating paper increases intelligence
Government launches new education policy,Real,government launches new education policy
Government launches new education policy,Real,government launches new education policy
Magic stone cures every disease,Fake,magic stone cures every disease
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
Invisible people found in Mumbai,Fake,invisible people found mumbai
Aliens landed in Delhi yesterday,Fake,aliens landed delhi yesterday
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
Sun rises from the west today,Fake,sun rises west today
Eating paper increases intelligence,Fake,eating paper increases intelligence
Aliens landed in Delhi yesterday,Fake,aliens landed delhi yesterday
Technology company launches new smartphone,Real,technology company launches new smartphone
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
University announces semester examination,Real,university announces semester examination
Indian cricket team wins the match,Real,indian cricket team wins match
Technology company launches new smartphone,Real,technology company launches new smartphone
New hospital opens in the city,Real,new hospital opens city
Invisible people found in Mumbai,Fake,invisible people found mumbai
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
Environment awareness campaign starts,Real,environment awareness campaign starts
Invisible people found in Mumbai,Fake,invisible people found mumbai
Flying cars available for ₹500,Fake,flying cars available ₹500
Sun rises from the west today,Fake,sun rises west today
Environment awareness campaign starts,Real,environment awareness campaign starts
Humans can live without water for one month,Fake,humans live without water one month
Indian cricket team wins the match,Real,indian cricket team wins match
Humans can live without water for one month,Fake,humans live without water one month
Aliens landed in Delhi yesterday,Fake,aliens landed delhi yesterday
Technology company launches new smartphone,Real,technology company launches new smartphone
Moon will crash into Earth tomorrow,Fake,moon crash earth tomorrow
Invisible people found in Mumbai,Fake,invisible people found mumbai
Scientists discover a new vaccine,Real,scientists discover new vaccine
Drinking petrol cures fever,Fake,drinking petrol cures fever
Technology company launches new smartphone,Real,technology company launches new smartphone
Government announces scholarship program,Real,government announces scholarship program
Eating paper increases intelligence,Fake,eating paper increases intelligence
Eating paper increases intelligence,Fake,eating paper increases intelligence
New railway line inaugurated,Real,new railway line inaugurated
Aliens landed in Delhi yesterday,Fake,aliens landed delhi yesterday
Dinosaurs seen in Odisha forest,Fake,dinosaurs seen odisha forest
Government announces scholarship program,Real,government announces scholarship program
Technology company launches new smartphone,Real,technology company launches new smartphone
Scientists discover a new vaccine,Real,scientists discover new vaccine
Government announces scholarship program,Real,government announces scholarship program
Eating paper increases intelligence,Fake,eating paper increases intelligence
Environment awareness campaign starts,Real,environment awareness campaign starts
Invisible people found in Mumbai,Fake,invisible people found mumbai
Technology company launches new smartphone,Real,technology company launches new smartphone
Government announces scholarship program,Real,government announces scholarship program
Drinking petrol cures fever,Fake,drinking petrol cures fever
Magic stone cures every disease,Fake,magic stone cures every disease
Sun rises from the west today,Fake,sun rises west today
Indian cricket team wins the match,Real,indian cricket team wins match
Eating paper increases intelligence,Fake,eating paper increases intelligence
