News,Label
Scientists discover a new vaccine,Real
Invisible people found in Mumbai,Fake
Government launches new education policy,Real
Scientists discover a new vaccine,Real
Invisible people found in Mumbai,Fake
Drinking petrol cures fever,Fake
Moon will crash into Earth tomorrow,Fake
Sun rises from the west today,Fake
Heavy rainfall expected this week,Real
Invisible people found in Mumbai,Fake
Heavy rainfall expected this week,Real
Environment awareness campaign starts,Real
New hospital opens in the city,Real
Scientists discover a new vaccine,Real
Technology company launches new smartphone,Real
Flying cars available for ₹500,Fake
Aliens landed in Delhi yesterday,Fake
Sun rises from the west today,Fake
Magic stone cures every disease,Fake
Indian cricket team wins the match,Real
Eating paper increases intelligence,Fake
Sun rises from the west today,Fake
Dinosaurs seen in Odisha forest,Fake
Heavy rainfall expected this week,Real
Drinking petrol cures fever,Fake
Government launches new education policy,Real
Indian cricket team wins the match,Real
Dinosaurs seen in Odisha forest,Fake
Sun rises from the west today,Fake
Government launches new education policy,Real
Heavy rainfall expected this week,Real
Environment awareness campaign starts,Real
Moon will crash into Earth tomorrow,Fake
New hospital opens in the city,Real
Technology company launches new smartphone,Real
Technology company launches new smartphone,Real
Scientists discover a new vaccine,Real
Dinosaurs seen in Odisha forest,Fake
Flying cars available for ₹500,Fake
Environment awareness campaign starts,Real
Drinking petrol cures fever,Fake
Drinking petrol cures fever,Fake
Heavy rainfall expected this week,Real
Moon will crash into Earth tomorrow,Fake
University announces semester examination,Real
Indian cricket team wins the match,Real
Drinking petrol cures fever,Fake
Dinosaurs seen in Odisha forest,Fake
Aliens landed in Delhi yesterday,Fake
Environment awareness campaign starts,Real
Heavy rainfall expected this week,Real
Heavy rainfall expected this week,Real
Scientists discover a new vaccine,Real
Moon will crash into Earth tomorrow,Fake
Heavy rainfall expected this week,Real
Drinking petrol cures fever,Fake
Aliens landed in Delhi yesterday,Fake
New railway line inaugurated,Real
Aliens landed in Delhi yesterday,Fake
Sun rises from the west today,Fake
Environment awareness campaign starts,Real
Dinosaurs seen in Odisha forest,Fake
Aliens landed in Delhi yesterday,Fake
Government launches new education policy,Real
Flying cars available for ₹500,Fake
Invisible people found in Mumbai,Fake
Magic stone cures every disease,Fake
Government launches new education policy,Real
Dinosaurs seen in Odisha forest,Fake
Heavy rainfall expected this week,Real
Dinosaurs seen in Odisha forest,Fake
Heavy rainfall expected this week,Real
Invisible people found in Mumbai,Fake
Heavy rainfall expected this week,Real
New hospital opens in the city,Real
Drinking petrol cures fever,Fake
Aliens landed in Delhi yesterday,Fake
Technology company launches new smartphone,Real
Magic stone cures every disease,Fake
Technology company launches new smartphone,Real
New railway line inaugurated,Real
New railway line inaugurated,Real
Humans can live without water for one month,Fake
Sun rises from the west today,Fake
Flying cars available for ₹500,Fake
Drinking petrol cures fever,Fake
University announces semester examination,Real
Flying cars available for ₹500,Fake
Invisible people found in Mumbai,Fake
University announces semester examination,Real
Government announces scholarship program,Real
Scientists discover a new vaccine,Real
Eating paper increases intelligence,Fake
New hospital opens in the city,Real
New hospital opens in the city,Real
Technology company launches new smartphone,Real
Technology company launches new smartphone,Real
Heavy rainfall expected this week,Real
Flying cars available for ₹500,Fake
Invisible people found in Mumbai,Fake
New hospital opens in the city,Real
Government announces scholarship program,Real
Magic stone cures every disease,Fake
Sun rises from the west today,Fake
Dinosaurs seen in Odisha forest,Fake
Magic stone cures every disease,Fake
Scientists discover a new vaccine,Real
Government launches new education policy,Real
Invisible people found in Mumbai,Fake
University announces semester examination,Real
Indian cricket team wins the match,Real
Flying cars available for ₹500,Fake
Eating paper increases intelligence,Fake
New hospital opens in the city,Real
Environment awareness campaign starts,Real
Moon will crash into Earth tomorrow,Fake
Magic stone cures every disease,Fake
Eating paper increases intelligence,Fake
New hospital opens in the city,Real
Government announces scholarship program,Real
Indian cricket team wins the match,Real
New hospital opens in the city,Real
Invisible people found in Mumbai,Fake
Dinosaurs seen in Odisha forest,Fake
Scientists discover a new vaccine,Real
Government announces scholarship program,Real
Sun rises from the west today,Fake
Scientists discover a new vaccine,Real
New railway line inaugurated,Real
Government announces scholarship program,Real
Technology company launches new smartphone,Real
Environment awareness campaign starts,Real
Technology company launches new smartphone,Real
Invisible people found in Mumbai,Fake
Invisible people found in Mumbai,Fake
Eating paper increases intelligence,Fake
Moon will crash into Earth tomorrow,Fake
Dinosaurs seen in Odisha forest,Fake
Environment awareness campaign starts,Real
Magic stone cures every disease,Fake
Heavy rainfall expected this week,Real
Humans can live without water for one month,Fake
Government launches new education policy,Real
Scientists discover a new vaccine,Real
Dinosaurs seen in Odisha forest,Fake
Environment awareness campaign starts,Real
New railway line inaugurated,Real
Drinking petrol cures fever,Fake
University announces semester examination,Real
New railway line inaugurated,Real
Indian cricket team wins the match,Real
Heavy rainfall expected this week,Real
Eating paper increases intelligence,Fake
Eating paper increases intelligence,Fake
Drinking petrol cures fever,Fake
University announces semester examination,Real
Government launches new education policy,Real
Eating paper increases intelligence,Fake
Moon will crash into Earth tomorrow,Fake
Flying cars available for ₹500,Fake
New railway line inaugurated,Real
Heavy rainfall expected this week,Real
Moon will crash into Earth tomorrow,Fake
Government announces scholarship program,Real
New railway line inaugurated,Real
Moon will crash into Earth tomorrow,Fake
Heavy rainfall expected this week,Real
Invisible people found in Mumbai,Fake
Heavy rainfall expected this week,Real
Government announces scholarship program,Real
New hospital opens in the city,Real
Eating paper increases intelligence,Fake
Government launches new education policy,Real
Government launches new education policy,Real
Magic stone cures every disease,Fake
Moon will crash into Earth tomorrow,Fake
Invisible people found in Mumbai,Fake
Aliens landed in Delhi yesterday,Fake
Moon will crash into Earth tomorrow,Fake
Sun rises from the west today,Fake
Eating paper increases intelligence,Fake
Aliens landed in Delhi yesterday,Fake
Technology company launches new smartphone,Real
Dinosaurs seen in Odisha forest,Fake
